depth	min	max	median	mean
0	35	446	225	222
1.00286532951289	93	459	255	256
2.00573065902579	133	487	291	290
3.00859598853868	167	511	329	324
4.01146131805158	196	542	372	358
5.01432664756447	221	573	406	394
6.01719197707736	359	653	515	505
7.02005730659026	450	765	619	616
8.02292263610315	533	942	727	727
9.02578796561605	607	1134	834	838
10.0286532951289	682	1331	940	947
11.0315186246418	782	1354	986	1001
12.0343839541547	864	1376	1033	1054
13.0372492836676	935	1400	1088	1108
14.0401146131805	978	1421	1149	1162
15.0429799426934	1015	1451	1212	1216
16.0458452722063	1128	1467	1270	1279
17.0487106017192	1237	1491	1330	1342
18.0515759312321	1300	1544	1396	1406
19.054441260745	1330	1628	1467	1469
20.0573065902579	1360	1730	1534	1534
21.0601719197708	1479	1805	1635	1634
22.0630372492837	1565	1888	1737	1735
23.0659025787966	1637	1997	1838	1835
24.0687679083095	1702	2144	1938	1935
25.0716332378224	1772	2286	2040	2034
26.0744985673352	1939	2330	2119	2122
27.0773638968481	2081	2394	2188	2210
28.080229226361	2173	2471	2279	2299
29.0830945558739	2203	2578	2383	2387
30.0859598853868	2223	2696	2471	2471
31.0888252148997	2257	2728	2516	2509
32.0916905444126	2283	2772	2557	2547
33.0945558739255	2297	2817	2595	2585
34.0974212034384	2309	2879	2633	2623
35.1002865329513	2325	2945	2667	2662
36.1031518624642	2424	2964	2707	2706
37.1060171919771	2510	2994	2748	2751
38.10888252149	2572	3025	2790	2795
39.1117478510029	2602	3090	2836	2840
40.1146131805158	2638	3149	2884	2885
41.1174785100287	2728	3159	2931	2932
42.1203438395415	2796	3176	2978	2979
43.1232091690544	2847	3210	3024	3026
44.1260744985673	2887	3267	3072	3073
45.1289398280802	2922	3349	3116	3120
46.1318051575931	2978	3363	3158	3160
47.134670487106	3024	3383	3203	3201
48.1375358166189	3054	3411	3246	3242
49.1404011461318	3079	3453	3289	3283
50.1432664756447	3118	3517	3336	3329
51.1461318051576	3257	3554	3405	3406
52.1489971346705	3362	3634	3480	3483
53.1518624641834	3405	3752	3553	3560
54.1547277936963	3430	3897	3621	3637
55.1575931232092	3464	4043	3695	3717
56.1604584527221	3576	4099	3800	3813
57.163323782235	3649	4179	3909	3909
58.1661891117478	3690	4279	4020	4005
59.1690544412607	3722	4393	4129	4101
60.1719197707736	3783	4516	4226	4197
61.1747851002865	3954	4559	4307	4293
62.1776504297994	4096	4624	4403	4388
63.1805157593123	4183	4721	4499	4483
64.1833810888252	4244	4868	4584	4578
65.1862464183381	4302	5030	4663	4668
66.189111747851	4408	5060	4729	4733
67.1919770773639	4485	5097	4801	4799
68.1948424068768	4526	5147	4870	4864
69.1977077363897	4558	5214	4940	4929
70.2005730659026	4620	5287	5003	4994
71.2034383954155	4794	5308	5053	5055
72.2063037249284	4887	5348	5112	5117
73.2091690544413	4941	5415	5181	5179
74.2120343839541	4978	5539	5246	5240
75.214899713467	5009	5674	5295	5295
76.2177650429799	5045	5709	5322	5322
77.2206303724928	5072	5753	5348	5349
78.2234957020057	5100	5790	5374	5377
79.2263610315186	5125	5812	5400	5404
80.2292263610315	5162	5845	5425	5433
81.2320916905444	5250	5865	5454	5468
82.2349570200573	5311	5885	5493	5503
83.2378223495702	5357	5915	5526	5538
84.2406876790831	5380	5948	5559	5573
85.243553008596	5415	5974	5600	5615
86.2464183381089	5489	5995	5670	5681
87.2492836676218	5535	6020	5741	5747
88.2521489971347	5558	6056	5816	5813
89.2550143266476	5577	6117	5890	5879
90.2578796561605	5637	6190	5956	5945
91.2607449856734	5791	6220	6010	6010
92.2636103151862	5896	6255	6072	6075
93.2664756446991	5927	6344	6139	6140
94.269340974212	5950	6497	6197	6205
95.2722063037249	6002	6654	6257	6276
96.2750716332378	6100	6712	6348	6363
97.2779369627507	6170	6786	6436	6450
98.2808022922636	6212	6886	6514	6537
99.2836676217765	6245	7013	6599	6625
100.286532951289	6349	7148	6710	6731
101.289398280802	6612	7203	6871	6884
102.292263610315	6811	7275	7042	7037
103.295128939828	6925	7444	7190	7190
104.297994269341	6978	7747	7333	7343
105.300859598854	7111	8026	7539	7545
106.303724928367	7448	8207	7880	7860
107.30659025788	7748	8451	8190	8175
108.309455587393	8012	8782	8512	8489
109.312320916905	8249	9163	8833	8804
