Locality_Num,Catalogue_Num,Pit,Level_mean,Level_min,Level_max,Drawer,Higher_Classification,Family,MS_classification,Element,NISP,Details,Notes,Quadrant,GMM?,TeethCorrosion
41229,20,1,7.5,0,15,2A1,lizard,Phrynosomatidae,,dentary,1,1L,",frag. 18 tooth positions, posterior teeth tricuspid",75,No,
41229,292,1,157.5,150,165,2D1,lizard,Phrynosomatidae,,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",50,,crown
41229,534,1B,127.5,125,130,2C3,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,,,100,,
41229,535,1B,187.5,185,190,2D12,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,parietal,1,,,100,,
41229,590,1A,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,,,100,,
41229,626,1A,57.5,55,60,2A14,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,"R horn frag, long",25,,
41229,627,1A,57.5,55,60,2A14,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,1L,,50,,
41229,698,1,67.5,65,70,2A16,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,2 long horns with 1 small middle,100,,
41229,799,1,87.5,85,90,2B7,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,jugal,1,1L,,100,,
41229,800,1,87.5,85,90,2B7,lizard,Phrynosomatidae,Phrynosoma,parietal,1,,missing horns,50,,
41229,873,1,117.5,115,120,2B17,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,3 long horns,100,,
41229,945,1,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,"1 small middle horn, horns broken",100,,
41229,946,1,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,,bumpy dorsal surface,100,,
41229,1027,1,67.5,65,70,2A16,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,,,50,,
41229,1028,1,67.5,65,70,2A16,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,1L,long horn with small middle horn,25,,
41229,1071,1A,162.5,160,165,2D6,lizard,Phrynosomatidae,Phrynosoma,squamosal,1,,horn,25,,
41229,1131,1B,102.5,100,105,2B12,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,1R,horn fragment,0,,
41229,1271,1A,37.5,35,40,2A9,lizard,Phrynosomatidae,Phrynosoma,parietal,1,,horn? fragment,,,
41229,4119,1A,117.5,115,120,2B17,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,1R,horn fragment,0,,
41229,5478,1C,27.5,25,30,2A6,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,2 long horns with 1 middle,75,,
41229,5499,1B,42.5,40,45,2A10,lizard,Phrynosomatidae,Phrynosoma cornutum,surangular_articular,1,1L,id as squamosal,50,,
41229,5995,1C,237.5,235,240,2.00E+10,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,squamosal,1,1R,3 short horns,75,,
41229,6181,1B,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma,squamosal,1,,"fragment, 1 med size horn",25,,
41229,6223,1,82.5,80,85,2B5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,3 long horns,100,,
41229,6224,1,82.5,80,85,2B5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,1L,long horn,50,,
41229,6282,1A,102.5,100,105,2B12,lizard,Anguidae,,osteoderm,1,,,,,
41229,6283,1A,102.5,100,105,2B12,lizard,Anguidae,,osteoderm,1,,,,,
41229,6307,1B,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,,,100,,
41229,6357,1B,97.5,95,100,2B11,lizard,Anguidae,,osteoderm,1,,,,,
41229,6532,1B,122.5,120,125,2C2,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,,,75,,
41229,6626,1C,222.5,220,225,2.00E+07,lizard,Anguidae,,osteoderm,1,,,,,
41229,6875,1,17.5,15,20,2A5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,2 long horns,75,,
41229,7132,1A,47.5,45,50,2A11,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,large L horn,50,,
41229,7133,1A,47.5,45,50,2A11,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,,small L horn,25,,
41229,7134,1A,47.5,45,50,2A11,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,large R horn,50,,
41229,7214,1,72.5,70,75,2B2,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,horn fragment,,,
41229,7805,1B,22.5,20,25,2A5,lizard,Phrynosomatidae,Phrynosoma,frontal,1,,middle fragment,0,,
41229,8093,1,42.5,40,45,2A10,lizard,Crotaphytidae,,maxilla,1,1L,"unicuspid frag, wide teeth, eroded crowns",75,,crown
41229,8094,1,42.5,40,45,2A10,lizard,Crotaphytidae,,dentary,1,1R,"unicuspid frag, wide sup mk lip, eroded crowns",25,,
41229,8120,1,62.5,60,65,2A15,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,surangular,1,1L,3 horns,50,,
41229,8195,1,62.5,60,65,2A15,lizard,Phrynosomatidae,cf. Sceloporus,dentary,1,1L,"id as Crotaphytus, slender tricuspid teeth",100,,none
41229,8227,1A,7.5,5,10,2A2,lizard,Phrynosomatidae,Phrynosoma,braincase,1,,complete,,,
41229,8510,1B,87.5,85,90,2B7,lizard,Crotaphytidae,,dentary,1,1R,"wide teeth, tricuspid",25,,none
41229,8994,1A,22.5,20,25,2A5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,,2 long horns with 1 middle,100,,
41229,8995,1A,22.5,20,25,2A5,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1L,"1 long horn, 1 broken",75,,
41229,9058,1B,82.5,80,85,2B5,lizard,Phrynosomatidae,Phrynosoma,parietal,1,1R,,25,,
41229,9242,1,27.5,25,30,2A6,lizard,Phrynosomatidae,Phrynosoma cf. cornutum,squamosal,1,1R,2 long horns,75,,
41229,9848,1B,72.5,70,75,2B2,lizard,,,jugal?,1,1L,"previous id ""Phrynosoma jugal""; not convinced of id",,,
41229,9917,1D,72.5,70,75,2B2,lizard,Anguidae,Gerrhonotus,maxilla,1,1L,previously id'ed as Crotaphytus,75,,none
41229,10023,1,32.5,30,35,2A8,lizard,Phrynosomatidae,Phrynosoma,parietal,1,,horn? fragment,,,
41229,10024,1,32.5,30,35,2A8,lizard,Phrynosomatidae,Phrynosoma cornutum,surangular_articular,1,1L,,75,,
