Specimen,Family,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium crest_GL,SVL,TL,Sex,species,genus
Elgaria coerulea_TMM_M-8965,Anguidae,6.41,7.09,,1.61,5.69,4.26,,3.83,1.34,2.1,0.78,9.1,7.78,1.37,4.71,74,208,,Elgaria coerulea,Elgaria
Elgaria coerulea_TMM_M-8977,Anguidae,,8.55,8.61,2.12,6.24,,,4.85,,2.43,0.92,10.71,9.26,,7.06,98,,,Elgaria coerulea,Elgaria
Elgaria coerulea_TMM_M-8994,Anguidae,6.89,8.31,,1.95,6.92,4,,4.54,1.43,2.53,0.79,9.7,8.37,1.51,6.41,91,135,female,Elgaria coerulea,Elgaria
Elgaria coerulea_TMM_M-9008,Anguidae,7.67,9.29,,2.19,7.46,4.17,,5.39,1.69,3.8,0.78,12.23,10.13,2.18,8.18,114,277,female,Elgaria coerulea,Elgaria
Elgaria kingii_TMM_M-8582,Anguidae,6.73,6.92,6.27,1.74,5.24,3.85,4.55,3.57,,1.79,,7.85,,,4.97,75,225,,Elgaria kingii,Elgaria
Elgaria kingii_TMM_M-8981,Anguidae,8.46,8.39,7.47,1.97,5.82,4.19,5.43,4.34,1.61,2.82,0.66,10,8.84,1.71,5.9,96,,,Elgaria kingii,Elgaria
Elgaria multicarinata webbi_CJB-1742,Anguidae,7.64,7.99,7.54,1.75,5.94,3.93,4.97,4.29,,1.97,,9.53,7.95,,5.35,91,264,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_CJB-1771,Anguidae,8.9,9.61,8.36,2.09,7.44,4.61,5.81,5.03,,3.18,,12.59,10.82,,7.3,112,242,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_CJB-1786,Anguidae,7.73,10.35,9.96,2.37,6.94,4.77,5.8,5.16,1.86,3.93,,12.65,11.07,2.28,7.84,117,,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_CJB-1806,Anguidae,9.93,12.79,10.93,3.04,8.22,,,6.08,2.55,4.14,1.27,15.36,14.1,2.48,9.98,153,,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-8974,Anguidae,7.98,9.62,,2.47,9.2,4.42,,5.91,1.83,3.8,1.2,13.03,11.42,2.21,7.14,107,280,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-8975,Anguidae,11.44,13.11,,3.95,10.94,5.53,,6.46,2.23,5.5,1.23,18.17,15.42,2.77,9.78,153,350,female,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-8993,Anguidae,13.85,15.99,12.72,3.67,10.72,4.87,9.4,7.14,2.42,7.04,1.73,18.24,16.08,3.55,11.44,157,370,,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-9005,Anguidae,8.55,10.71,,2.59,8.34,4.7,,5.53,1.94,3.63,1.06,14.45,12.71,2.63,7.89,115,309,female,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata webbi_TMM_M-9007,Anguidae,11.19,13.27,,3.47,9.96,4.9,,6.35,2.36,5.05,1.36,16.26,14.93,3.51,9.84,143,377,female,Elgaria multicarinata webbi,Elgaria
Elgaria multicarinata_CJB-1788,Anguidae,8.45,8.81,8.19,2.02,5.55,3.78,5.56,4.83,,3.11,0.69,11.49,9.88,,7.16,105,300,,Elgaria multicarinata,Elgaria
Elgaria multicarinata_TMM_M-8987,Anguidae,8.67,9.24,7.96,1.93,6.94,4.2,5.38,5.13,,2.61,,11.93,,,6.79,106,,,Elgaria multicarinata,Elgaria
Elgaria multicarinata_TMM_M-8990,Anguidae,7.35,8.16,,2.23,7.34,3.73,,4.6,1.37,2.13,0.68,10.3,9,2.06,,,,,Elgaria multicarinata,Elgaria
Elgaria multicarinata scincicauda_TMM_M-12129,Anguidae,7.94,8.32,7.42,1.66,6.08,3.67,4.9,4.57,,2.23,,10.96,9.46,,6.76,93,183,,Elgaria multicarinata scincicauda,Elgaria
Gerrhonotus infernalis_TMM_M-12353,Anguidae,13.35,16.69,,4.56,,4.78,,6.57,2.15,6.7,1.26,17.43,15.62,2.48,11.3,155,309,male,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus infernalis_TMM_M-13440,Anguidae,15.22,16.34,12.56,3.25,10.17,5.8,10.37,7.25,2.32,5.7,1.95,17.99,16.08,3.14,12.32,165,400,,Gerrhonotus infernalis,Gerrhonotus
Gerrhonotus infernalis_TMM_M-13441,Anguidae,11.63,13.59,10.9,2.89,8.44,4.83,7.63,5.56,2.19,3.75,1.58,16.11,13.79,3.05,9.12,144,327,,Gerrhonotus infernalis,Gerrhonotus
