Species,Specimen_Number,Measurement_Type,Measurement_(mm),Measurement_(mm)_2,Measurement_(mm)_3,Caliper
Aspidoscelis tigris,CJB 1793,maxilla_LDR,9.939,10.077,9.612,8.76
Aspidoscelis tigris,CJB 1793,dentary_LDR,10.821,10.933,11.036,11
Aspidoscelis tigris,CJB 1793,quadrate_GH,4.213,4.461,4.212,4.15
Aspidoscelis tigris,CJB 1793,frontal_GL,10.792,10.677,10.578,10
Aspidoscelis tigris,CJB 1793,frontal_PW,6.796,6.68,6.667,6.71
Aspidoscelis tigris,CJB 1793,frontal_SW,2.187,2.154,2.208,2.38
Aspidoscelis tigris,CJB 1793,parietal_GL,4.572,4.663,4.81,5.05
Aspidoscelis tigris,CJB 1793,parietal_GW,5.378,5.444,5.612,5.45
Aspidoscelis tigris,CJB 1793,articular_WR,3.434,3.209,3.357,3.95
Crotaphytus collaris,M-13062,frontal_GL,10.169,9.568,9.886,10.03
Crotaphytus collaris,M-13062,frontal_PW,9.436,8.858,9.15,9.26
Crotaphytus collaris,M-13062,frontal_SW,1.583,1.498,1.538,1.69
Crotaphytus collaris,M-13062,quadrate_GH,5.186,5.07,5.112,4.76
Crotaphytus collaris,M-13062,maxilla_LDR,10.471,10.767,10.742,10.83
Crotaphytus collaris,M-13062,dentary_LDR,11.88,12.061,12.132,12.84
Crotaphytus collaris,M-13062,parietal_GL,3.778,3.802,4.001,4.34
Crotaphytus collaris,M-13062,parietal_GW,5.431,5.391,5.724,5.47
Crotaphytus collaris,M-13062,articular_WR,3.754,3.634,3.617,3.65
Elgaria multicarinata,CJB 1742,parietal_GL,4.709,4.403,4.608,4.97
Elgaria multicarinata,CJB 1742,parietal_GW,3.972,3.702,3.935,3.93
Elgaria multicarinata,CJB 1742,quadrate_GH,4.154,3.959,4.126,4.29
Elgaria multicarinata,CJB 1742,maxilla_LDR,6.847,6.849,6.787,7.64
Elgaria multicarinata,CJB 1742,dentary_LDR,7.974,8.084,7.889,7.99
Elgaria multicarinata,CJB 1742,frontal_GL,7.417,8.275,7.564,7.54
Elgaria multicarinata,CJB 1742,frontal_PW,5.686,6.373,5.821,5.94
Elgaria multicarinata,CJB 1742,frontal_SW,1.544,1.714,1.611,1.75
Plestiodon gilberti,M-8587,quadrate_GH,3.989,3.966,4.065,3.97
Plestiodon gilberti,M-8587,maxilla_LDR,7.43,7.607,7.537,7.98
Plestiodon gilberti,M-8587,articular_WR,3.095,3.167,3.048,2.85
Plestiodon gilberti,M-8587,frontal_GL,8.411,8.542,8.466,7.96
Plestiodon gilberti,M-8587,dentary_LDR,9.042,9.294,9.159,9.52
Plestiodon gilberti,M-8587,parietal_GL,4.657,4.812,4.798,5.32
Plestiodon gilberti,M-8587,parietal_GW,6.409,6.446,6.628,6.56
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
