Specimen_Number,Specimen_Letter,Measurement_Type,Measurement_(mm),Locality_Num,Pit,Level_mean,Level_min,Level_max,Drawer,Higher_Classification,Family,MS_classification,Element,NISP,Details,Notes,Quadrant,GMM?,TeethCorrosion
534,NA,Frontal_GL,7.973,41229,1B,127.5,125,130,2C3,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
534,NA,Frontal_PW,13.674,41229,1B,127.5,125,130,2C3,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
534,NA,Frontal_SW,2.819,41229,1B,127.5,125,130,2C3,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
535,NA,Parietal_GL,4.594,41229,1B,187.5,185,190,2D12,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,parietal,1,NA,NA,100,NA,NA
590,NA,Frontal_GL,7.431,41229,1A,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
590,NA,Frontal_PW,11.999,41229,1A,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
590,NA,Frontal_SW,2.172,41229,1A,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
945,NA,Parietal_GL,4.475,41229,1,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,NA,"1 small middle horn, horns broken",100,NA,NA
945,NA,Parietal_GW,7.229,41229,1,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,NA,"1 small middle horn, horns broken",100,NA,NA
946,NA,Frontal_GL,5.931,41229,1,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,100,NA,NA
946,NA,Frontal_SW,2.242,41229,1,132.5,130,135,2C5,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,100,NA,NA
5478,NA,Parietal_GL,6.213,41229,1C,27.5,25,30,2A6,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,NA,2 long horns with 1 middle,75,NA,NA
5478,NA,Parietal_GW,3.323,41229,1C,27.5,25,30,2A6,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,NA,2 long horns with 1 middle,75,NA,NA
6307,NA,Frontal_GL,8.046,41229,1B,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
6307,NA,Frontal_PW,11.793,41229,1B,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
6307,NA,Frontal_SW,2.76,41229,1B,97.5,95,100,2B11,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,100,NA,NA
6532,NA,Frontal_GL,6.456,41229,1B,122.5,120,125,2C2,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,75,NA,NA
6532,NA,Frontal_SW,2.456,41229,1B,122.5,120,125,2C2,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,NA,75,NA,NA
8093,NA,Maxilla_LDR,8.818,41229,1,42.5,40,45,2A10,lizard,Crotaphytidae,NA,maxilla,1,1L,"unicuspid frag, wide teeth, eroded crowns",75,NA,crown
8195,NA,Dentary_LDR,10.46,41229,1,62.5,60,65,2A15,lizard,Phrynosomatidae,cf. Sceloporus,dentary,1,1L,"id as Crotaphytus, slender tricuspid teeth",100,NA,none
8994,NA,Parietal_GL,3.861,41229,1A,22.5,20,25,2A5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,NA,2 long horns with 1 middle,100,NA,NA
8994,NA,Parietal_GW,7.748,41229,1A,22.5,20,25,2A5,lizard,Phrynosomatidae,Phrynosoma cornutum,parietal,1,NA,2 long horns with 1 middle,100,NA,NA
9917,NA,Maxilla_LDR,10.852,41229,1D,72.5,70,75,2B2,lizard,Anguidae,Gerrhonotus,maxilla,1,1L,previously id'ed as Crotaphytus,75,NA,none
10024,NA,Articular_WR,2.944,41229,1,32.5,30,35,2A8,lizard,Phrynosomatidae,Phrynosoma cornutum,surangular_articular,1,1L,NA,75,NA,NA
10126,NA,Frontal_GL,6.43,41229,1D,67.5,65,70,2A16,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,in 2 pieces,100,NA,NA
10883,NA,Parietal_GL,4.869,41229,1D/E,222.5,220,225,2.00E+07,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,parietal,1,NA,NA,100,NA,NA
10883,NA,Parietal_GW,8.513,41229,1D/E,222.5,220,225,2.00E+07,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,parietal,1,NA,NA,100,NA,NA
11075,NA,Frontal_GL,6.849,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,100,NA,NA
11075,NA,Frontal_PW,10.472,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,100,NA,NA
11075,NA,Frontal_SW,1.912,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,100,NA,NA
11076,NA,Frontal_GL,6.714,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,burned,75,NA,NA
11076,NA,Frontal_SW,2.467,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,burned,75,NA,NA
11078,NA,Frontal_GL,7.508,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,75,NA,NA
11078,NA,Frontal_SW,2.889,41229,1D,232.5,230,235,2.00E+09,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,75,NA,NA
11091,NA,Dentary_LDR,9.006,41229,1D/E,197.5,195,200,2D15,lizard,Phrynosomatidae,cf. Phrynosoma douglasii species complex,dentary,1,1L,"unicuspid,  some missing crowns, closed mk, no tubercle",100,NA,shaft
11092,NA,Dentary_LDR,7.545,41229,1D/E,197.5,195,200,2D15,lizard,Phrynosomatidae,NA,dentary,1,1L,"tricuspid, slightly eroded tooth crowns",75,NA,crown
11214,NA,Frontal_GL,8.257,41229,1D/E,207.5,205,210,2.00E+03,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,1,NA,75,NA,NA
11214,NA,Frontal_SW,2.671,41229,1D/E,207.5,205,210,2.00E+03,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,1,NA,75,NA,NA
11216,NA,Frontal_GL,6.189,41229,1D/E,207.5,205,210,2.00E+03,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,1,NA,75,NA,NA
11216,NA,Frontal_SW,1.915,41229,1D/E,207.5,205,210,2.00E+03,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,1,NA,75,NA,NA
11253,NA,Frontal_GL,5.891,41229,1D,262.5,260,265,2.00E+13,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,100,NA,NA
11253,NA,Frontal_PW,9.317,41229,1D,262.5,260,265,2.00E+13,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,100,NA,NA
11253,NA,Frontal_SW,1.885,41229,1D,262.5,260,265,2.00E+13,lizard,Phrynosomatidae,Phrynosoma douglasii species complex,frontal,1,NA,NA,100,NA,NA
11255,NA,Frontal_GL,5.966,41229,1E,142.5,140,145,2C9,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,100,NA,NA
11255,NA,Frontal_PW,10.21,41229,1E,142.5,140,145,2C9,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,100,NA,NA
11255,NA,Frontal_SW,2.105,41229,1E,142.5,140,145,2C9,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,100,NA,NA
11256,NA,Frontal_GL,6.639,41229,1E,142.5,140,145,2C9,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,75,NA,NA
11256,NA,Frontal_SW,1.553,41229,1E,142.5,140,145,2C9,lizard,Phrynosomatidae,Phrynosoma cornutum,frontal,1,NA,bumpy dorsal surface,75,NA,NA
25579,NA,Quadrate_GH,4.381,41229,1D/E,212.5,210,215,2.00E+05,lizard,Crotaphytidae,NA,quadrate,1,1L,NA,100,NA,NA
25582,NA,Quadrate_GH,2.939,41229,1D/E,212.5,210,215,2.00E+05,lizard,Anguidae,Ophisaurus,quadrate,1,1R,NA,100,NA,NA
25585,NA,Quadrate_GH,3.225,41229,1D/E,212.5,210,215,2.00E+05,lizard,Anguidae,Ophisaurus,quadrate,1,1R,NA,100,NA,NA
25586,NA,Quadrate_GH,3.041,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Callisaurini,quadrate,1,1R,NA,100,NA,NA
25608,NA,Frontal_GL,4.974,41229,1D/E,212.5,210,215,2.00E+05,lizard,Scincidae,Scincinae,frontal,1,1R,NA,75,NA,NA
25609,a,Articular_WR,1.908,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,4,4L,NA,100,NA,NA
25609,d,Articular_WR,2.067,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,4,4L,NA,100,NA,NA
25609,b,Articular_WR,1.564,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,4,4L,NA,100,NA,NA
25609,c,Articular_WR,2.079,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,4,4L,NA,100,NA,NA
25610,b,Articular_WR,1.818,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,5,5R,1 burned,100,NA,NA
25610,a,Articular_WR,2.216,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,5,5R,1 burned,100,NA,NA
25610,c,Articular_WR,2.176,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,5,5R,1 burned,100,NA,NA
25610,d,Articular_WR,1.991,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,5,5R,1 burned,100,NA,NA
25610,e,Articular_WR,1.488,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,Morphotype A,surangular_articular,5,5R,1 burned,100,NA,NA
25614,a,Frontal_GL,4.959,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,NA,frontal,5,NA,NA,100,NA,NA
25614,a,Frontal_PW,4.981,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,NA,frontal,5,NA,NA,100,NA,NA
25614,a,Frontal_SW,1.123,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,NA,frontal,5,NA,NA,100,NA,NA
25614,b,Frontal_GL,4.089,41229,1D/E,212.5,210,215,2.00E+05,lizard,Phrynosomatidae,NA,frontal,5,NA,NA,100,NA,NA
